crypto,date,open,high,low,close,volume
Bitcoin,2023-09-07,25747.63,26487.7,25595.8,26276.3,14267.79248401322
Bitcoin,2023-09-08,26274.0,26460.41,25640.1,25906.34,14189.402185534143
Bitcoin,2023-09-09,25905.3,25950.0,25791.45,25891.3,2829.6755997102314
Bitcoin,2023-09-10,25891.3,26042.0,25578.01,25831.76,5827.520567851061
Bitcoin,2023-09-11,25831.77,25904.0,24900.0,25152.14,17908.90558831693
Bitcoin,2023-09-12,25163.4,26575.0,25120.76,25840.61,25906.862011178222
Bitcoin,2023-09-13,25839.95,27212.0,25763.43,26226.65,13871.095750043589
Bitcoin,2023-09-14,26238.0,26869.06,26128.25,26532.76,18076.43217570317
Bitcoin,2023-09-15,26535.5,26910.0,26213.96,26602.42,12984.52418452192
Bitcoin,2023-09-16,26610.1,26792.0,26453.32,26569.69,4955.600235679828
Bitcoin,2023-09-17,26575.0,26634.0,26405.04,26530.95,3981.5119427502163
Bitcoin,2023-09-18,26543.0,27468.1,26382.13,26764.49,23409.416034508627
Bitcoin,2023-09-19,26758.3,27508.0,26666.93,27216.13,18876.088876450194
Bitcoin,2023-09-20,27216.52,27414.0,26798.98,27123.94,15216.856085745956
Bitcoin,2023-09-21,27135.1,27167.0,26358.2,26567.6,15860.777258264943
Bitcoin,2023-09-22,26567.6,26749.0,26467.94,26578.4,11976.665982702314
Bitcoin,2023-09-23,26578.4,26810.0,26500.0,26579.6,4036.447193950329
Bitcoin,2023-09-24,26579.59,26768.0,26118.86,26250.24,7344.407919350665
Bitcoin,2023-09-25,26293.0,26466.0,25983.78,26296.08,14875.143177963193
Bitcoin,2023-09-26,26289.8,26410.0,26080.0,26208.44,9176.83630199953
Bitcoin,2023-09-27,26214.9,26876.0,26088.37,26359.9,18060.025435709216
Bitcoin,2023-09-28,26357.56,27335.0,26321.37,27027.14,22561.245505560048
Bitcoin,2023-09-29,27027.3,27264.0,26661.71,26907.0,15814.497181300825
Bitcoin,2023-09-30,26920.1,27110.0,26884.86,26961.0,5336.814536240815
Bitcoin,2023-10-01,26972.1,28105.0,26955.25,27995.46,12382.31513936321
Bitcoin,2023-10-02,27995.46,28613.37,27298.0,27504.04,32706.12199481325
Bitcoin,2023-10-03,27532.0,27700.0,27160.47,27428.96,17370.88515368263
Bitcoin,2023-10-04,27428.96,27846.0,27208.65,27786.75,12788.35884951181
Bitcoin,2023-10-05,27800.0,28140.0,27358.05,27413.8,18001.332540909603
Bitcoin,2023-10-06,27413.8,28297.0,27173.41,27945.17,17232.89093354511
Bitcoin,2023-10-07,27947.8,28040.84,27840.0,27976.43,4748.550423800992
Bitcoin,2023-10-08,27973.4,28109.94,27708.6,27933.55,5098.696867750869
Bitcoin,2023-10-09,27933.54,28003.7,27268.63,27596.67,15594.71608394797
Bitcoin,2023-10-10,27586.1,27752.0,27291.81,27393.29,13125.717596612725
Bitcoin,2023-10-11,27397.3,27492.0,26521.32,26869.19,21529.99629811929
Bitcoin,2023-10-12,26868.2,26964.0,26537.72,26750.51,10925.69028405186
Bitcoin,2023-10-13,26794.0,27140.0,26662.62,26867.9,11661.449196250906
Bitcoin,2023-10-14,26867.9,26995.0,26797.0,26851.71,3878.526884900356
Bitcoin,2023-10-15,26851.71,27304.0,26806.06,27186.13,7710.0875256911695
Bitcoin,2023-10-16,27186.13,30208.0,27119.9,28520.24,48566.44292996274
Bitcoin,2023-10-17,28516.8,28637.21,28083.19,28410.0,17326.46674800579
Bitcoin,2023-10-18,28408.51,28999.98,28151.6,28326.51,14876.443152926226
Bitcoin,2023-10-19,28326.24,28955.0,28122.57,28726.9,16596.19519741294
Bitcoin,2023-10-20,28734.51,30260.0,28591.85,29684.73,27061.412863866142
Bitcoin,2023-10-21,29680.9,30369.0,29475.06,29924.84,9412.677030121653
Bitcoin,2023-10-22,29925.91,30275.0,29668.0,30004.15,7552.858811070171
Bitcoin,2023-10-23,30004.14,35000.0,29890.89,33087.58,47149.55282034107
Bitcoin,2023-10-24,33084.4,35225.0,32851.0,33922.52,51659.28557555184
Bitcoin,2023-10-25,33921.6,35152.0,33690.91,34506.35,24827.736185113954
Bitcoin,2023-10-26,34504.33,34843.04,33717.2,34154.71,20751.57895983245
Bitcoin,2023-10-27,34153.35,34269.0,33318.6,33906.09,17678.598332582693
Bitcoin,2023-10-28,33915.1,34531.0,33852.8,34085.42,6346.222647200909
Bitcoin,2023-10-29,34085.42,34783.0,33937.31,34534.48,8560.598133881818
Bitcoin,2023-10-30,34534.48,34953.4,34077.9,34493.79,14077.711118352741
Bitcoin,2023-10-31,34508.1,34732.18,34038.79,34656.4,12530.454739981622
Bitcoin,2023-11-01,34653.9,35647.19,34079.46,35440.1,21990.99457728188
Bitcoin,2023-11-02,35441.7,35997.8,34311.73,34950.0,19633.25642191019
Bitcoin,2023-11-03,34947.92,34954.6,34100.0,34731.27,17580.765055601223
Bitcoin,2023-11-04,34730.32,35296.0,34599.85,35090.3,7015.023593800654
Bitcoin,2023-11-05,35091.1,35439.0,34479.0,35035.42,8328.056750291418
Bitcoin,2023-11-06,35035.79,35323.0,34753.66,35059.46,9031.178320961637
Bitcoin,2023-11-07,35028.6,35963.0,34518.0,35416.28,17389.498627963476
Bitcoin,2023-11-08,35449.1,36113.59,35100.0,35639.13,15511.345017905101
Bitcoin,2023-11-09,35639.13,37999.0,35517.3,36706.59,41092.963234284776
Bitcoin,2023-11-10,36702.5,37548.8,36334.46,37301.0,20591.50023106141
Bitcoin,2023-11-11,37311.7,37424.03,36651.0,37139.12,8286.818863001703
Bitcoin,2023-11-12,37139.94,37247.0,36727.3,37086.03,4941.516481990443
Bitcoin,2023-11-13,37053.9,37444.0,36351.0,36494.1,15049.499597457863
Bitcoin,2023-11-14,36494.1,36756.16,34666.0,35554.09,22715.548636068837
Bitcoin,2023-11-15,35554.1,37987.0,35358.45,37885.35,26381.792416145643
Bitcoin,2023-11-16,37856.0,37958.75,35511.11,36161.15,25829.054796816865
Bitcoin,2023-11-17,36161.15,36888.0,35851.2,36625.0,17689.67674299156
Bitcoin,2023-11-18,36631.56,36857.15,36205.89,36594.89,4961.651855590686
Bitcoin,2023-11-19,36596.14,37546.62,36404.52,37391.19,6637.247370100936
Bitcoin,2023-11-20,37379.0,37784.07,36620.0,37475.64,19933.89923549112
Bitcoin,2023-11-21,37480.5,37675.77,35744.9,35751.89,29781.556916316415
Bitcoin,2023-11-22,35756.0,37888.0,35633.0,37424.31,25815.682909892173
Bitcoin,2023-11-23,37428.1,37653.67,36874.7,37300.9,11255.70344309498
Bitcoin,2023-11-24,37300.9,38454.0,37248.0,37745.84,25398.319833813806
Bitcoin,2023-11-25,37746.29,37920.27,37583.0,37805.99,5900.593432540458
Bitcoin,2023-11-26,37781.0,37842.17,37117.0,37462.79,9283.43340594138
Bitcoin,2023-11-27,37469.9,37578.42,36715.1,37241.63,17398.233303532234
Bitcoin,2023-11-28,37254.1,38425.96,36873.55,37838.26,23519.594636871952
Bitcoin,2023-11-29,37838.26,38480.0,37555.0,37863.84,18729.83823372214
Bitcoin,2023-11-30,37864.79,38152.18,37490.0,37732.27,10547.50291791071
Bitcoin,2023-12-01,37732.27,39000.0,37618.0,38703.54,22789.851736040953
Bitcoin,2023-12-02,38690.0,39740.0,38634.0,39478.95,12361.73849266264
Bitcoin,2023-12-03,39467.42,40221.22,39253.0,39984.81,10699.749838323205
Bitcoin,2023-12-04,39975.1,42415.5,39476.0,41987.24,32400.89486495723
Bitcoin,2023-12-05,41983.0,45000.0,40849.0,44084.39,34916.9349298997
Bitcoin,2023-12-06,44086.33,44297.0,43335.5,43761.7,24660.42372229832
Bitcoin,2023-12-07,43809.0,44091.0,42846.53,43280.95,18639.499968512984
Bitcoin,2023-12-08,43288.1,44754.99,43086.0,44192.87,19135.757218053423
Bitcoin,2023-12-09,44192.86,44384.68,43586.14,43723.25,8473.693434901174
Bitcoin,2023-12-10,43722.84,44066.0,43562.06,43793.68,6232.076501981144
Bitcoin,2023-12-11,43793.67,43842.0,39999.0,41229.61,35445.40136005956
Bitcoin,2023-12-12,41236.9,42300.0,40636.51,41477.39,18143.572584052064
Bitcoin,2023-12-13,41477.6,43475.0,40553.15,42885.54,20914.557157635176
Bitcoin,2023-12-14,42889.1,43470.0,41359.0,43027.77,20503.47930140568
Bitcoin,2023-12-15,43027.77,43106.0,41640.51,41933.89,14295.062770914623
Bitcoin,2023-12-16,41934.84,42746.0,41626.66,42237.29,7450.71614399271
Bitcoin,2023-12-17,42235.23,42448.0,41222.0,41349.59,10630.181342181319
Bitcoin,2023-12-18,41349.59,42773.0,40508.0,42650.01,18252.33167576893
Bitcoin,2023-12-19,42644.7,43529.0,41780.0,42266.22,17413.69422059899
